,acc,uar,epoch,dataset,pseudo_num,pseudo_acc,pseudo_rec
fold1,0.45868263473053894,0.46499420202328334,398,msp-improv,229.0,0.519650655021834,0.3779558050908597
fold2,0.46486028789161726,0.494271114470733,301,msp-improv,171.0,0.5847953216374269,0.4778970219531584
fold3,0.4458041958041958,0.4282184667345236,306,msp-improv,185.0,0.4702702702702703,0.5023913619501855
fold4,0.5195227765726681,0.5353941513032422,325,msp-improv,155.0,0.6258064516129033,0.5223783891547049
fold5,0.4803738317757009,0.4501127210939054,378,msp-improv,261.0,0.48659003831417624,0.48668827118200353
average,0.47384874535494415,0.47459813112513743,378,msp-improv,,,
