,acc,uar,epoch,dataset,pseudo_num,pseudo_acc,pseudo_rec
fold1,0.5173652694610779,0.4903637707669433,301,msp-improv,179.0,0.659217877094972,0.49796272276110987
fold2,0.49364944961896695,0.4900514934381344,335,msp-improv,163.0,0.656441717791411,0.4808823529411765
fold3,0.5087412587412588,0.4899478010821863,308,msp-improv,228.0,0.5614035087719298,0.3509716386554622
fold4,0.5932754880694143,0.5897488874761602,406,msp-improv,140.0,0.6142857142857143,0.5164772727272727
fold5,0.4850467289719626,0.4454115365811578,392,msp-improv,178.0,0.5617977528089888,0.364726507713885
average,0.519615638972536,0.5011046978689164,392,msp-improv,,,
