,acc,uar,epoch,dataset,pseudo_num,pseudo_acc,pseudo_rec
fold1,0.5911708253358925,0.6398555350936734,476,iemocap,303.0,0.6963696369636964,0.6174462644878909
fold2,0.6716981132075471,0.7430615660306592,316,iemocap,283.0,0.6713780918727915,0.6095399698340875
fold3,0.6172248803827751,0.6013371974781371,476,iemocap,278.0,0.5431654676258992,0.4975495804729214
fold4,0.602996254681648,0.6375211102222597,497,iemocap,292.0,0.6712328767123288,0.6423881538916937
fold5,0.5759233926128591,0.5667770922191395,398,iemocap,290.0,0.6517241379310345,0.5928515684880917
average,0.6118026932441444,0.6377105002087738,398,iemocap,,,
