,acc,uar,epoch,dataset,pseudo_num,pseudo_acc,pseudo_rec
fold1,0.6103646833013435,0.6293992800800627,301,iemocap,305.0,0.6459016393442623,0.440042586010328
fold2,0.6320754716981132,0.6076764685238761,446,iemocap,349.0,0.6160458452722063,0.5584825517006369
fold3,0.6076555023923444,0.5860811399048771,330,iemocap,312.0,0.5769230769230769,0.4042789482279928
fold4,0.5636704119850188,0.5621779667756679,356,iemocap,358.0,0.5642458100558659,0.48262377035961934
fold5,0.560875512995896,0.5703992475287353,311,iemocap,302.0,0.6456953642384106,0.3917723780596748
average,0.5949283164745431,0.5911468205626438,311,iemocap,,,
