,acc,uar,epoch,dataset,pseudo_num,pseudo_acc,pseudo_rec
fold1,0.5854126679462572,0.6295674436224848,379,iemocap,289.0,0.6955017301038062,0.43504355400696865
fold2,0.6641509433962264,0.7169323583020595,380,iemocap,330.0,0.6757575757575758,0.6026947991621905
fold3,0.6267942583732058,0.6102823537387296,353,iemocap,371.0,0.5741239892183289,0.5296927261396155
fold4,0.5898876404494382,0.6198032012687185,381,iemocap,332.0,0.6385542168674698,0.598037126101314
fold5,0.5567715458276333,0.5568387555237424,341,iemocap,349.0,0.6217765042979942,0.5538419913419913
average,0.6046034111985522,0.6266848224911469,341,iemocap,,,
