,acc,uar,epoch,dataset,pseudo_num,pseudo_acc,pseudo_rec
fold1,0.5777351247600768,0.599077672652821,312,iemocap,329.0,0.6747720364741642,0.424264705882353
fold2,0.6509433962264151,0.6601624308810594,327,iemocap,332.0,0.6686746987951807,0.5025704034251944
fold3,0.6220095693779905,0.6087474890194777,305,iemocap,354.0,0.5480225988700564,0.5025149679754943
fold4,0.5692883895131086,0.6122779625653189,390,iemocap,387.0,0.5891472868217055,0.5401612054764179
fold5,0.5417236662106704,0.5764948119709187,382,iemocap,404.0,0.6584158415841584,0.5672163043905507
average,0.5923400292176523,0.6113520734179192,382,iemocap,,,
