,acc,uar,epoch,dataset,pseudo_num,pseudo_acc,pseudo_rec
fold1,0.562874251497006,0.5342985757724688,475,msp-improv,164.0,0.6524390243902439,0.5007187509002391
fold2,0.4970364098221846,0.48158226693924233,495,msp-improv,122.0,0.6557377049180327,0.47668067226890753
fold3,0.5104895104895105,0.5014018819868029,498,msp-improv,195.0,0.6153846153846154,0.3204201660716689
fold4,0.544468546637744,0.5444267853358762,324,msp-improv,103.0,0.6504854368932039,0.37142857142857144
fold5,0.49439252336448597,0.454758245825778,425,msp-improv,162.0,0.5493827160493827,0.3605814739688979
average,0.5218522483621862,0.5032935511720337,425,msp-improv,,,
