,acc,uar,epoch,dataset,pseudo_num,pseudo_acc,pseudo_rec
fold1,0.6429942418426103,0.6954339072495083,343,iemocap,274.0,0.6459854014598541,0.5386646745391706
fold2,0.6811320754716981,0.7623945093076152,301,iemocap,291.0,0.6219931271477663,0.5953309778851362
fold3,0.6156299840510366,0.5964786508675594,497,iemocap,281.0,0.6548042704626335,0.5664220603244994
fold4,0.5749063670411985,0.5729045911517175,374,iemocap,303.0,0.6336633663366337,0.6055258467023173
fold5,0.5389876880984952,0.557214140780748,403,iemocap,273.0,0.6703296703296703,0.6026614668856047
average,0.6107300713010078,0.6368851598714297,403,iemocap,,,
