,acc,uar,epoch,dataset,pseudo_num,pseudo_acc,pseudo_rec
fold1,0.5173652694610779,0.5218509092435067,497,msp-improv,172.0,0.5755813953488372,0.4447463768115942
fold2,0.4961896697713802,0.4801113923311787,340,msp-improv,136.0,0.6397058823529411,0.47685314685314684
fold3,0.5384615384615384,0.5319498599427355,321,msp-improv,181.0,0.6298342541436464,0.57171497201985
fold4,0.5813449023861171,0.5755827505827507,325,msp-improv,88.0,0.6818181818181818,0.6608150470219436
fold5,0.4635514018691589,0.4315135816278551,312,msp-improv,167.0,0.5688622754491018,0.5841106965174129
average,0.5193825563898544,0.5082016987456053,312,msp-improv,,,
