,acc,uar,epoch,dataset
fold1,0.5508637236084453,0.598732251944497,207,iemocap
fold2,0.6396226415094339,0.6482017340875641,196,iemocap
fold3,0.6076555023923444,0.5880243623090673,271,iemocap
fold4,0.5730337078651685,0.5750320454343443,118,iemocap
fold5,0.5800273597811217,0.612425166969351,296,iemocap
average,0.5902405870313028,0.6044831121489647,296,iemocap
