,acc,uar,epoch,dataset,pseudo_num,pseudo_acc,pseudo_rec
fold1,0.5700598802395209,0.5386940481124222,314,msp-improv,173.0,0.6184971098265896,0.5957855869620575
fold2,0.5055038103302286,0.5107135016267542,338,msp-improv,160.0,0.55625,0.5381029438232828
fold3,0.49125874125874125,0.46654171817335677,393,msp-improv,169.0,0.5562130177514792,0.6059465744101633
fold4,0.5954446854663774,0.623352405170587,305,msp-improv,71.0,0.6901408450704225,0.721875
fold5,0.48317757009345796,0.46301474580310076,321,msp-improv,186.0,0.6129032258064516,0.6103923853923854
average,0.5290889374776653,0.5204632837772442,321,msp-improv,,,
