,acc,uar,epoch,dataset,pseudo_num,pseudo_acc,pseudo_rec
fold1,0.6410748560460653,0.664886276388157,470,iemocap,318.0,0.6761006289308176,0.37996031746031744
fold2,0.5962264150943396,0.6782170713090322,393,iemocap,331.0,0.5981873111782477,0.5107356459330143
fold3,0.6156299840510366,0.6046768461727839,408,iemocap,291.0,0.6769759450171822,0.598115905981843
fold4,0.5936329588014981,0.623075227241894,344,iemocap,311.0,0.6302250803858521,0.4961649550706033
fold5,0.5403556771545828,0.5387810350029283,301,iemocap,362.0,0.6906077348066298,0.6204900023250407
average,0.5973839782295045,0.6219272912229591,301,iemocap,,,
