,acc,uar,epoch,dataset,pseudo_num,pseudo_acc,pseudo_rec
fold1,0.6199616122840691,0.6450369827024318,448,iemocap,320.0,0.709375,0.46349716562602694
fold2,0.6773584905660377,0.7498490021210001,301,iemocap,376.0,0.6409574468085106,0.4709316070925978
fold3,0.6395534290271132,0.6289801940278803,475,iemocap,256.0,0.6328125,0.40639584865402345
fold4,0.5730337078651685,0.5826188604924236,413,iemocap,258.0,0.6046511627906976,0.4899361799713621
fold5,0.5403556771545828,0.5488696662979242,497,iemocap,320.0,0.6625,0.4059425159859063
average,0.6100525833793942,0.6310709411283321,497,iemocap,,,
