,acc,uar,epoch,dataset,pseudo_num,pseudo_acc,pseudo_rec
fold1,0.6122840690978887,0.6570197230682909,368,iemocap,312.0,0.5801282051282052,0.44813204077695135
fold2,0.6660377358490566,0.6811331887163672,330,iemocap,304.0,0.6151315789473685,0.5317215842625374
fold3,0.6060606060606061,0.5864592587835258,308,iemocap,271.0,0.6199261992619927,0.466920342065085
fold4,0.5917602996254682,0.5906377041434513,328,iemocap,332.0,0.5873493975903614,0.5288634715959091
fold5,0.5636114911080712,0.5980223966683033,351,iemocap,279.0,0.6236559139784946,0.5333770111167371
average,0.6079508403482181,0.6226544542759876,351,iemocap,,,
