,acc,uar,epoch,dataset,pseudo_num,pseudo_acc,pseudo_rec
fold1,0.5353293413173653,0.522927612154314,337,msp-improv,194.0,0.654639175257732,0.5338210591613695
fold2,0.5114309906858594,0.5007726565090371,484,msp-improv,171.0,0.6374269005847953,0.5968181818181818
fold3,0.5402097902097902,0.5142328785593908,361,msp-improv,187.0,0.6203208556149733,0.5747835090361446
fold4,0.5737527114967462,0.582464505191778,315,msp-improv,127.0,0.5984251968503937,0.5916666666666667
fold5,0.5009345794392523,0.4628516660215859,478,msp-improv,242.0,0.5661157024793388,0.5920542380324989
average,0.5323314826298027,0.5166498636872212,478,msp-improv,,,
