,acc,uar,epoch,dataset,pseudo_num,pseudo_acc,pseudo_rec
fold1,0.4491017964071856,0.45342235791673996,349,msp-improv,297.0,0.5454545454545454,0.2836080586080586
fold2,0.47502116850127013,0.4829587268483585,372,msp-improv,156.0,0.6474358974358975,0.5319255058550331
fold3,0.4737762237762238,0.46538817759722767,346,msp-improv,230.0,0.5173913043478261,0.3967245240761478
fold4,0.5054229934924078,0.48753443526170803,305,msp-improv,84.0,0.6547619047619048,0.6023284313725491
fold5,0.4766355140186916,0.44155365457763773,498,msp-improv,311.0,0.5080385852090032,0.40564319307371643
average,0.47599153923915577,0.46617147044033436,498,msp-improv,,,
