,acc,uar,epoch,dataset,pseudo_num,pseudo_acc,pseudo_rec
fold1,0.6353166986564299,0.6840556452202987,344,iemocap,273.0,0.706959706959707,0.46852287283355626
fold2,0.6924528301886792,0.7554922935534318,494,iemocap,325.0,0.6307692307692307,0.612058666007498
fold3,0.6363636363636364,0.6247629063506845,301,iemocap,271.0,0.6309963099630996,0.6147174737143266
fold4,0.5786516853932584,0.5723686488054305,351,iemocap,257.0,0.6536964980544747,0.578898215614039
fold5,0.5868673050615595,0.5787259380749277,301,iemocap,279.0,0.6379928315412187,0.4966946040116772
average,0.6259304311327126,0.6430810864009546,301,iemocap,,,
