,acc,uar,epoch,dataset,pseudo_num,pseudo_acc,pseudo_rec
fold1,0.5566218809980806,0.5532597932107912,305,iemocap,394.0,0.6421319796954315,0.4214871868429695
fold2,0.6018867924528302,0.608695656226901,389,iemocap,375.0,0.624,0.37783568628811265
fold3,0.6299840510366826,0.6176188768647264,401,iemocap,361.0,0.5484764542936288,0.3732248520710059
fold4,0.5187265917602997,0.5465936521971004,358,iemocap,434.0,0.5967741935483871,0.38840451133953335
fold5,0.5389876880984952,0.5123773980584821,301,iemocap,413.0,0.6343825665859564,0.4235379616963064
average,0.5692414008692778,0.5677090753116002,301,iemocap,,,
