,acc,uar,epoch,dataset,pseudo_num,pseudo_acc,pseudo_rec
fold1,0.5758157389635317,0.5696645529840235,336,iemocap,340.0,0.6264705882352941,0.4032779364847676
fold2,0.6320754716981132,0.5923233395552261,348,iemocap,334.0,0.5748502994011976,0.46180930287815214
fold3,0.5422647527910686,0.5008004809665001,413,iemocap,318.0,0.5754716981132075,0.3789405357639303
fold4,0.5337078651685393,0.5417887083116969,409,iemocap,348.0,0.5775862068965517,0.3684219985621855
fold5,0.5485636114911081,0.5132794244659642,353,iemocap,302.0,0.6324503311258278,0.3553664921465969
average,0.5664854880224721,0.5435713012566822,353,iemocap,,,
