,acc,uar,epoch,dataset,pseudo_num,pseudo_acc,pseudo_rec
fold1,0.5911708253358925,0.5989496243184945,307,iemocap,333.0,0.6276276276276276,0.38066590755735497
fold2,0.6264150943396226,0.6935137152157081,303,iemocap,311.0,0.6527331189710611,0.4500595238095238
fold3,0.6076555023923444,0.5830645736774314,358,iemocap,362.0,0.6160220994475138,0.49989597325662893
fold4,0.5617977528089888,0.5767521484475507,309,iemocap,361.0,0.6343490304709142,0.4449480706459942
fold5,0.5294117647058824,0.5542899957407287,470,iemocap,361.0,0.6925207756232687,0.5717029376891518
average,0.5832901879165461,0.6013140114799828,470,iemocap,,,
