,acc,uar,epoch,dataset,pseudo_num,pseudo_acc,pseudo_rec
fold1,0.5738963531669866,0.5883373446433984,377,iemocap,292.0,0.6027397260273972,0.5125608797361558
fold2,0.6245283018867924,0.6918911611104653,475,iemocap,339.0,0.6519174041297935,0.5790326616021471
fold3,0.594896331738437,0.5755236933089283,459,iemocap,347.0,0.5734870317002881,0.4840917298663777
fold4,0.5842696629213483,0.6029205203055777,349,iemocap,338.0,0.6153846153846154,0.4861997755169355
fold5,0.5417236662106704,0.5407962766869967,338,iemocap,307.0,0.6514657980456026,0.6102672037033586
average,0.5838628631848469,0.5998937992110733,338,iemocap,,,
