,acc,uar,epoch,dataset,pseudo_num,pseudo_acc,pseudo_rec
fold1,0.5854126679462572,0.5859295154192449,301,iemocap,384.0,0.6145833333333334,0.3755284421460892
fold2,0.6037735849056604,0.6375879655726809,313,iemocap,334.0,0.6437125748502994,0.4228139079047452
fold3,0.6060606060606061,0.558752038220424,301,iemocap,365.0,0.5863013698630137,0.3950462123632949
fold4,0.5449438202247191,0.5519255329600157,371,iemocap,397.0,0.5944584382871536,0.41901321325027685
fold5,0.5129958960328317,0.5664259611459806,322,iemocap,441.0,0.6394557823129252,0.5602307102050954
average,0.5706373150340148,0.5801242026636693,322,iemocap,,,
