,acc,uar,epoch,dataset,pseudo_num,pseudo_acc,pseudo_rec
fold1,0.5681381957773513,0.5514947872779132,326,iemocap,334.0,0.7065868263473054,0.4147267206477733
fold2,0.6584905660377358,0.7099744087191309,319,iemocap,338.0,0.6153846153846154,0.3664162028447743
fold3,0.6220095693779905,0.5862429487385333,404,iemocap,330.0,0.6090909090909091,0.40310806868383764
fold4,0.5449438202247191,0.5449651242754691,344,iemocap,360.0,0.6444444444444445,0.3984883112603592
fold5,0.5581395348837209,0.5591826487935023,305,iemocap,339.0,0.6194690265486725,0.37394995642629425
average,0.5903443372603036,0.5903719835609097,305,iemocap,,,
