,acc,uar,epoch,dataset,pseudo_num,pseudo_acc,pseudo_rec
fold1,0.564299424184261,0.5764145926882799,350,iemocap,308.0,0.6233766233766234,0.6357064025946725
fold2,0.6018867924528302,0.6473680735747953,324,iemocap,284.0,0.6302816901408451,0.5628222284816082
fold3,0.6060606060606061,0.5875986106205111,355,iemocap,277.0,0.5992779783393501,0.537426594248849
fold4,0.5917602996254682,0.6015159010848666,301,iemocap,315.0,0.6031746031746031,0.5008604111405836
fold5,0.5622435020519836,0.5627440577249576,384,iemocap,307.0,0.6482084690553745,0.6113701832084185
average,0.5852501248750298,0.5951282471386821,384,iemocap,,,
