,acc,uar,epoch,dataset,pseudo_num,pseudo_acc,pseudo_rec
fold1,0.6506717850287908,0.6959872168310979,450,iemocap,264.0,0.7045454545454546,0.6352669507741605
fold2,0.7,0.745311251828732,339,iemocap,282.0,0.6347517730496454,0.6212372376630744
fold3,0.6124401913875598,0.6005401953123606,301,iemocap,258.0,0.6627906976744186,0.6569806413556414
fold4,0.599250936329588,0.6111599979416071,301,iemocap,275.0,0.6909090909090909,0.6579411266550979
fold5,0.5978112175102599,0.621226219068521,383,iemocap,259.0,0.6525096525096525,0.5792607951230417
average,0.6320348260512396,0.6548449761964638,383,iemocap,,,
