,acc,uar,epoch,dataset
fold1,0.6897560975609756,0.5935989479095793,118,crema-d
fold2,0.6783068783068783,0.6110487204321139,200,crema-d
fold3,0.7236559139784946,0.5963555242589544,111,crema-d
fold4,0.7179215270413574,0.6377754041066038,235,crema-d
fold5,0.6858638743455497,0.6040270557068053,197,crema-d
average,0.699100858246651,0.6085611304828114,197,crema-d
