,acc,uar,epoch,dataset,pseudo_num,pseudo_acc,pseudo_rec
fold1,0.6314779270633397,0.68145405753897,430,iemocap,308.0,0.6753246753246753,0.5873184587895726
fold2,0.6547169811320754,0.72676720214425,479,iemocap,303.0,0.6171617161716172,0.595005816353334
fold3,0.6172248803827751,0.5982005680257182,381,iemocap,282.0,0.6347517730496454,0.6573237673343606
fold4,0.5636704119850188,0.5935830187266969,431,iemocap,357.0,0.6330532212885154,0.6140529980107986
fold5,0.6306429548563611,0.6049752503800808,442,iemocap,311.0,0.6495176848874598,0.6172810498468393
average,0.619546631083914,0.6409960193631432,442,iemocap,,,
