,acc,uar,epoch,dataset,pseudo_num,pseudo_acc,pseudo_rec
fold1,0.5029940119760479,0.4882907905049345,419,msp-improv,164.0,0.6402439024390244,0.5580049969264936
fold2,0.5215918712955123,0.5104195187079186,359,msp-improv,115.0,0.6956521739130435,0.6908577533577533
fold3,0.5262237762237763,0.4915085859691001,335,msp-improv,211.0,0.5876777251184834,0.4755585963332442
fold4,0.5845986984815619,0.5760118669209578,470,msp-improv,228.0,0.6359649122807017,0.5658798728749586
fold5,0.5214953271028038,0.470968036561198,301,msp-improv,220.0,0.6090909090909091,0.4305443548387097
average,0.5313807370159405,0.5074397597328218,301,msp-improv,,,
