,acc,uar,epoch,dataset,pseudo_num,pseudo_acc,pseudo_rec
fold1,0.548502994011976,0.5149777794358099,371,msp-improv,206.0,0.5679611650485437,0.5110841735019367
fold2,0.489415749364945,0.5103717100164136,397,msp-improv,159.0,0.6415094339622641,0.5782261075161772
fold3,0.49125874125874125,0.4765615601876708,329,msp-improv,207.0,0.6038647342995169,0.5610315107597716
fold4,0.5390455531453362,0.5407289680016952,457,msp-improv,19.0,0.5789473684210527,0.5833333333333334
fold5,0.4654205607476635,0.4154338792999692,490,msp-improv,140.0,0.6285714285714286,0.48957388082274655
average,0.5067287197057324,0.4916147793883118,490,msp-improv,,,
