,acc,uar,epoch,dataset,pseudo_num,pseudo_acc,pseudo_rec
fold1,0.555688622754491,0.5412219967738805,332,msp-improv,178.0,0.5337078651685393,0.46860112792489844
fold2,0.5241320914479255,0.547743754565666,375,msp-improv,164.0,0.5670731707317073,0.48567281333265017
fold3,0.5472027972027972,0.5212505975714083,399,msp-improv,167.0,0.6407185628742516,0.6321503444144954
fold4,0.5813449023861171,0.5688917143462598,389,msp-improv,131.0,0.6030534351145038,0.6277570538208836
fold5,0.5383177570093458,0.5069653287983567,395,msp-improv,188.0,0.5372340425531915,0.5004828504828505
average,0.5493372341601352,0.5372146784111143,395,msp-improv,,,
